region name,Area code,Area name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio
South East,E07000092,Rushmoor,2790,0.398856326,4205,0.601143674,9.74
South East,E07000093,Test Valley,3550,0.488980716,3710,0.511019284,10.6
South East,E07000094,Winchester,2350,0.341074020,4540,0.658925980,14.14
East of England,E07000095,Broxbourne,2420,0.455315146,2895,0.544684854,11.46
East of England,E07000096,Dacorum,3555,0.403289847,5260,0.596710153,14.04
East of England,E07000098,Hertsmere,1945,0.382121807,3145,0.617878193,15.51
East of England,E07000099,North Hertfordshire,3110,0.396430848,4735,0.603569152,11.22
East of England,E07000102,Three Rivers,1585,0.407455013,2305,0.592544987,14.37
East of England,E07000103,Watford,2025,0.290530846,4945,0.709469154,12.47
South East,E07000105,Ashford,3320,0.422929936,4530,0.577070064,10.45
South East,E07000106,Canterbury,2645,0.255308880,7715,0.744691120,12.86
South East,E07000107,Dartford,4330,0.526443769,3895,0.473556231,8.86
South East,E07000108,Dover,2620,0.402457757,3890,0.597542243,9.25
South East,E07000109,Gravesham,2335,0.380603097,3800,0.619396903,10.9
South East,E07000110,Maidstone,4605,0.425011537,6230,0.574988463,10.85
South East,E07000111,Sevenoaks,2585,0.507858546,2505,0.492141454,14.47
South East,E07000112,Folkestone and Hythe,2060,0.366874443,3555,0.633125557,11.2
South East,E07000113,Swale,4070,0.459887006,4780,0.540112994,10.1
South East,E07000114,Thanet,2455,0.296139928,5835,0.703860072,10.74
South East,E07000115,Tonbridge and Malling,3665,0.539367182,3130,0.460632818,13.39
South East,E07000116,Tunbridge Wells,2335,0.374198718,3905,0.625801282,15.42
North West,E07000117,Burnley,2400,0.349599417,4465,0.650400583,4.69
North West,E07000118,Chorley,3375,0.488069414,3540,0.511930586,7.02
North West,E07000119,Fylde,1805,0.454659950,2165,0.545340050,6.75
North West,E07000120,Hyndburn,2360,0.402730375,3500,0.597269625,4.26
North West,E07000121,Lancaster,3515,0.359959037,6250,0.640040963,6.34
North West,E07000122,Pendle,2355,0.414248021,3330,0.585751979,5.34
North West,E07000123,Preston,3840,0.307077169,8665,0.692922831,5.54
North West,E07000124,Ribble Valley,1620,0.570422535,1220,0.429577465,6.43
North West,E07000125,Rossendale,2115,0.483428571,2260,0.516571429,7.12
North West,E07000126,South Ribble,3615,0.549392097,2965,0.450607903,5.98
North West,E07000127,West Lancashire,2630,0.412872841,3740,0.587127159,7.47
North West,E07000128,Wyre,2575,0.464382326,2970,0.535617674,6.81
East Midlands,E07000129,Blaby,3385,0.576660988,2485,0.423339012,8.07
East Midlands,E07000130,Charnwood,5060,0.404638145,7445,0.595361855,8.41
East Midlands,E07000131,Harborough,2555,0.543617021,2145,0.456382979,10.69
East Midlands,E07000132,Hinckley and Bosworth,3600,0.522117476,3295,0.477882524,8.38
East Midlands,E07000133,Melton,1205,0.445471349,1500,0.554528651,12.27
East Midlands,E07000134,North West Leicestershire,3570,0.523076923,3255,0.476923077,7.99
East Midlands,E07000135,Oadby and Wigston,1205,0.456439394,1435,0.543560606,10.14
East Midlands,E07000136,Boston,1560,0.342480790,2995,0.657519210,7.58
East Midlands,E07000137,East Lindsey,2600,0.369056068,4445,0.630943932,7.53
East Midlands,E07000138,Lincoln,2685,0.245093565,8270,0.754906435,5.97
East Midlands,E07000139,North Kesteven,3400,0.505952381,3320,0.494047619,8.16
East Midlands,E07000140,South Holland,2425,0.438517179,3105,0.561482821,8.53
